ID_Statie,Lat,Lon,Data,Inundatie_Target,soil_moisture_surface_pct,soil_moisture
FLD_0001,39.47,-0.38,2024-10-29,1,96.37999725341795,91.89823913574219
FLD_0002,19.76,96.08,2024-09-09,1,96.06999969482422,91.00715637207031
FLD_0003,48.21,16.37,2024-09-14,1,95.63999938964844,92.53912353515625
FLD_0004,49.82,18.26,2024-09-13,1,94.62000274658205,89.18927764892578
FLD_0005,50.48,17.33,2024-09-14,1,89.48999786376953,85.22607421875
FLD_0006,45.44,28.01,2024-09-13,1,80.61000061035156,76.0024185180664
FLD_0007,47.5,19.04,2024-09-19,1,94.4800033569336,91.003173828125
FLD_0008,44.79,20.45,2024-09-18,1,92.12999725341795,88.37297058105469
FLD_0009,19.91,99.84,2024-09-11,1,95.55999755859376,90.3629379272461
FLD_0010,16.07,108.22,2024-09-07,1,56.15999984741211,54.29413986206055
FLD_0011,17.6,121.75,2024-09-02,1,88.8499984741211,84.19794464111328
FLD_0012,-30.03,-51.22,2024-04-29,1,,
FLD_0013,25.2,55.27,2024-04-16,1,77.52999877929688,74.09187316894531
FLD_0014,36.13,68.72,2024-05-10,1,73.16000366210938,67.67759704589844
FLD_0015,30.43,-8.13,2024-09-06,1,90.45999908447266,86.46248626708984
FLD_0016,0.02,37.91,2024-04-24,1,92.41999816894533,87.44013977050781
FLD_0017,17.02,54.09,2024-05-25,1,64.7300033569336,60.27138137817383
FLD_0018,2.21,99.2,2024-05-11,1,95.76000213623048,90.20703887939453
FLD_0019,-3.42,-65.86,2024-06-01,1,-1.0,98.08367156982422
FLD_0020,13.81,8.99,2024-07-20,1,79.7300033569336,76.00080871582031
FLD_0021,30.38,69.35,2024-07-05,1,88.30999755859375,84.04126739501953
FLD_0022,11.61,76.08,2024-07-30,1,99.0999984741211,96.262939453125
FLD_0023,27.61,111.72,2024-06-19,1,93.97000122070312,88.03304290771484
FLD_0024,-6.79,39.21,2024-04-25,1,97.52999877929688,96.15062713623047
FLD_0025,3.94,43.76,2024-05-01,1,88.11000061035156,84.10332489013672
FLD_0026,32.75,22.64,2023-09-10,1,54.59999847412109,52.550777435302734
FLD_0027,39.64,22.42,2023-09-05,1,80.58999633789062,76.09454345703125
FLD_0028,46.23,14.99,2023-08-03,1,85.02999877929688,79.39317321777344
FLD_0029,-0.45,40.67,2023-11-10,1,95.73999786376952,91.68258666992188
FLD_0030,7.34,9.16,2023-09-20,1,98.4800033569336,94.65042877197266
FLD_0031,44.49,11.34,2023-05-16,1,95.72000122070312,92.05726623535156
FLD_0032,15.5,32.56,2023-07-25,1,,
FLD_0033,24.89,91.87,2023-06-10,1,98.23999786376952,94.72880554199219
FLD_0034,-8.11,-79.03,2023-03-07,1,84.0199966430664,85.61555480957031
FLD_0035,-34.6,-58.38,2023-08-17,1,83.4800033569336,80.05413055419922
FLD_0036,-17.26,35.53,2023-03-11,1,96.0999984741211,91.28379821777344
