ID_Statie,Lat,Lon,Data,Inundatie_Target,elevation,mean_precipitation_mm,soil_moisture
FLD_0001,39.47,-0.38,2024-10-29,1,21.46954727172852,2.7711987495422363,91.8982391357422
FLD_0002,19.76,96.08,2024-09-09,1,144.90176391601562,0.8069961159317581,91.00715637207033
FLD_0003,48.21,16.37,2024-09-14,1,195.3351593017578,3.268497961538809,92.53912353515624
FLD_0004,49.82,18.26,2024-09-13,1,229.84886169433597,1.6512848712779855,89.18927764892578
FLD_0005,50.48,17.33,2024-09-14,1,196.5107879638672,3.2641048784609192,85.22607421875
FLD_0006,45.44,28.01,2024-09-13,1,45.28544616699219,0.1942714055379232,76.0024185180664
FLD_0007,47.5,19.04,2024-09-19,1,113.6225357055664,0.0,91.003173828125
FLD_0008,44.79,20.45,2024-09-18,1,147.69163513183594,0.002198749118381,88.37297058105469
FLD_0009,19.91,99.84,2024-09-11,1,399.25238037109375,2.334729388908104,90.3629379272461
FLD_0010,16.07,108.22,2024-09-07,1,13.687747955322266,0.0,54.29413986206055
FLD_0011,17.6,121.75,2024-09-02,1,18.872459411621094,1.5516523961667663,84.19794464111328
FLD_0012,-30.03,-51.22,2024-04-29,1,24.84897804260254,1.0436177253723145,
FLD_0013,25.2,55.27,2024-04-16,1,2.109271049499512,4.654105062837954,74.09187316894531
FLD_0014,36.13,68.72,2024-05-10,1,548.99365234375,0.8251512492144549,67.67759704589844
FLD_0015,30.43,-8.13,2024-09-06,1,1128.6036376953125,0.0850425826178656,86.46248626708984
FLD_0016,0.02,37.91,2024-04-24,1,856.6821899414062,0.1361657071996618,87.44013977050781
FLD_0017,17.02,54.09,2024-05-25,1,10.236382484436035,2.869853266963252e-05,60.27138137817383
FLD_0018,2.21,99.2,2024-05-11,1,1533.5560302734375,0.3700742015132197,90.20703887939452
FLD_0019,-3.42,-65.86,2024-06-01,1,81.1880111694336,0.1498328314887153,98.08367156982422
FLD_0020,13.81,8.99,2024-07-20,1,454.609130859375,0.0771416558159722,76.00080871582031
FLD_0021,30.38,69.35,2024-07-05,1,1405.2174072265625,0.0333256191677517,84.04126739501953
FLD_0022,11.61,76.08,2024-07-30,1,754.7404174804688,2.470586034986708,96.262939453125
FLD_0023,27.61,111.72,2024-06-19,1,353.7757263183594,0.5860880569175437,88.03304290771484
FLD_0024,-6.79,39.21,2024-04-25,1,53.6733283996582,0.759758331157543,96.15062713623048
FLD_0025,3.94,43.76,2024-05-01,1,546.2377319335938,0.1316644527294017,84.10332489013672
FLD_0026,32.75,22.64,2023-09-10,1,91.37792205810548,2.079921740072745,52.550777435302734
FLD_0027,39.64,22.42,2023-09-05,1,86.57539367675781,3.8268014236732766,76.09454345703125
FLD_0028,46.23,14.99,2023-08-03,1,537.3380126953125,0.4919546621817129,79.39317321777344
FLD_0029,-0.45,40.67,2023-11-10,1,119.6252899169922,0.5662176344129773,91.68258666992188
FLD_0030,7.34,9.16,2023-09-20,1,147.05892944335938,0.1975960201687283,94.65042877197266
FLD_0031,44.49,11.34,2023-05-16,1,77.03482818603516,2.4613252392521607,92.05726623535156
FLD_0032,15.5,32.56,2023-07-25,1,384.7683410644531,0.0002781550089518,
FLD_0033,24.89,91.87,2023-06-10,1,18.07126808166504,1.210248028790509,94.7288055419922
FLD_0034,-8.11,-79.03,2023-03-07,1,36.76734161376953,0.1423866660506637,85.61555480957031
FLD_0035,-34.6,-58.38,2023-08-17,1,24.62560272216797,1.1584162712097168,80.05413055419922
FLD_0036,-17.26,35.53,2023-03-11,1,309.30584716796875,1.9076709394101743,91.28379821777344
FLD_0037,3.86,-76.53,2023-04-10,1,1638.9805908203125,2.7948088116115994,80.45044708251953
FLD_0038,-4.32,15.32,2023-01-13,1,280.11968994140625,0.0162654452853732,63.074127197265625
FLD_0039,-14.48,48.22,2023-01-19,1,76.02069854736328,6.796788286279749,88.13105010986328
FLD_0040,15.12,105.8,2023-09-10,1,105.76166534423828,1.2612519440827543,81.00074005126953
FLD_0041,-2.17,-77.81,2023-03-01,1,1345.06982421875,0.271194510989719,89.1291275024414
FLD_0042,-6.79,39.21,2023-04-25,1,53.6733283996582,0.0949788976598669,94.89525604248048
FLD_0043,3.94,43.76,2023-05-01,1,546.2377319335938,0.0228837684348777,89.63545989990234
FLD_0044,24.66,93.9,2023-06-15,1,772.0980834960938,0.245319472418891,82.68445587158203
